name,system
'Здравствуйте по полюсу можно в любой больнице проити глазного врача?,Здравоохранение/Медицина
"'Здравствуйте! Я все с тем же обращением , на какой стадии находится мое обращение?",Связь и телевидение
"'Добрый день. Могу я узнать ,кто у нас депутат? Район Карпаты 1 и Карпаты 2",Связь и телевидение
"'Здравствуйте. Вопрос не срочный, но хотелось бы уточнить. Был перевод губернаторских мобилизованным(100т.р.), на текущий момент ребята многие еще в учебках, даты отправления не известны и мелькают случаи, когда некоторых возвращают домой, по разным причинам. Вопрос в следующем, вдруг получится так что мужа(сына и.т.д.) вернут, куда в данном случае осуществляется возврат и возможен ли возврат частями, если кто из семей частично потратит деньги, т.к. доход есть не у всех, да и ребятам не всем зп еще пришла? Заранее спасибо за ответ.",Мобилизация
"'Сегодня на Фрунзе целая стая штук 20 бегает, жуть... Действительно страшно ходить, непредзказуемые ...",Безопасность
'#подписчикСвоеТВ делится обстановкой в детской поликлинике на Деменева. «Невыносимо душно. Мамочки запасаются терпением и ждут по 3 часа. А какое испытание для детишек?»,Здравоохранение/Медицина
"'Ещё год прошёл, свалка на Мира 43 так и осталась свалкой, а не площадкой для ТБО.",Мусор/Свалки/ТКО
"'Они сами ни чего не знают.... Напишите номер телефона, с кем можно проконсультироваться по поводу беженцев",Безопасность
"'Здравствуйте, так мне никто и не звонил по моему вопросу",Связь и телевидение
"'Здравствуйте. 20 июня подавала на продление ежемесечной выплаты на 1 ребёнка через госуслуги, досих пор нет ответа написана только что заявление зарегестрировано",Социальное обслуживание и защита
'Добрый день. Кто может ответить на мой вопрос по поводу федеральных и региональных премий мёд работникам ?,Здравоохранение/Медицина
"'Мы подавали заявление на рюкзак или канцтовары, нет никакой речи о школьной форме, семья малоимущих, и справку из школы принесла, и доход семьи не превышает положенного, и никакой выплаты нам не было, речь шла о 5000,на эту сумму мы снова должны купить второй рюкзак и канцтовары и ничего кроме этого, хотя именно на школьную форму мы потратили 5000,хотели возместить... Но видимо не получается.... Только неизвестно почему...",Социальное обслуживание и защита
"'Сейчас звонил я по этому номеру(комбинат благоустройства), по поводу отлова собак. Неохотно ответил мужчина и по среди принятия моей заявке, к нему в кабинет зашла женщина и сказала что отлов они не производят. Вот так и ссыт в уши нам наша власть.",Безопасность
"'Здравствуйте, такой вопрос ,я мобилизован в Тюмени,если меня сейчас комисуют по состоянию здоровья нужно ли будет возвращать выплату в 100 тыс руб?",Мобилизация
'Компания ПИК (Пермская Индустрия Качества),ЖКХ
'Почему нету света на Ленина 47?,ЖКХ
'Результаты мазка в г. Кунгур очень долго. Третий день ждём. Почему так долго?,Коронавирус
'Когда расселят окончательно дом по ул.Маяковского 5.,Социальное обслуживание и защита
"'[club197807915|ИГЖН Пермского края], добрый день. Объясните пожалуйста почему при входе в ЛК ИГЖН сайт госуслуг запрашивает все персональные данные, если они уже есть в системе?",Связь и телевидение
'То что вакцинация и прививки это хорошо. Но из-за такого отношения к пациентам и такой организованности идти не хочется. Гоняют из кабинета в кабинет и никто ничего не знает кто обязан ставить прививки от ковида и от гриппа.,Коронавирус
"'Добрый день, в каком документе можно ознакомиться с мерами поддержки семьям военнослужащих, полагающиеся льготы и выплаты.",Мобилизация
"'Добрый день, подскажите пожалуйста какая помощь и где можно получить?",Социальное обслуживание и защита
'Всех с Новым 2022 годом🤗🤗🤗!!! А можно узнать когда после Нового года будет работать МРТ!!!,Здравоохранение/Медицина
"'Здравствуйте, у меня такой вопрос. У нас заболел ребёнок и на 4день почувствовали сами себя плохо я мама и у нас бабушка. Вызвали врача, врач пришёл через сутки. Взяли экспресс тест, тест показал корона вирус. Врач сказал что другой тест будет готов дня через 3. Но вчера вечером позвонили из поликлиники и сказали забрать лекарства, но только на бабушку. У меня такой вопрос? Почему на одного дают лекарство, а на другого нет. Что за избирательное лечение?",Здравоохранение/Медицина
"'[club175401227|Пермский региональный оператор ТКО], Добрый день! Насколько я знаю, что администрация заключала договор с вами. С нами индивидуально ни кто договоров ни каких не заключал. Почему от вас не приходили квитанции на оплату ежемесячно, это вопрос. Раз с вами договор заключала администрация, почему сразу вам не были переданы наши достоверные данные? На одну квартиру мне значит насчитали 8000₽, и ещё одна плата пришла на родительскую квартиру, где я видимо в доле состою, я в ней не проживаю более 10 лет. Мне что вам ещё и за долю эту 8000₽ плати? А если бы мои данные через 10 лет у вас всплыли где то в базе, вы бы мне что пол миллиона отправили бы. Я с вами не согласна! Вот здесь я обращусь во все инстанции, которые есть. И дойду до Москвы. Так как считаю ваши действия не правомерные.",Мусор/Свалки/ТКО
"'Мне важен сертификат,спаравка о том что я болела Ковид.",Коронавирус
"'Здравствуйте! Подскажите пожалуйста, что нам делать? 20 июня, на электронный адрес нашей управляющей компании, было отправлено коллективное письмо. В письме мы попросили наполнить песком песочницу и починить беседку на детской площадке. Ответа с УК так и не поступило",ЖКХ
"'Жители Закамска в соцсетях сообщили о глыбе льда, рухнувшей с крыши прямо перед входом в подъезд и закрывшей к нему свободный доступ. Она упала с крыши и лишь частично разлетелась на осколки.<br>«Хорошо, что голова чья-то не пострадала», — написали взволнованные пользователи Сети. Теперь чтобы зайти домой, людям приходится преодолевать ледяное препятствие.",ЖКХ
"'Доброе время суток, можно ли через сообщения вк заказать в автогаражный копператив вывоз мусора?",Связь и телевидение
'Куштанова Гульназ РАИЛЕВНА. Опечатка,Связь и телевидение
"'Губернатор уа! Вы где! Стыдно за спорт стадион,, Родина""Губаха , Молот , Звезда, Урал - Грейт, Прикамье, везде где задают вопросы изчезаите..,",Физическая культура и спорт
"'Здравствуйте. Подскажите, а в регионах будут устанавливать такие приемники? https://vk.com/wall-175401227_7421",Мусор/Свалки/ТКО
"'А можно более подробно узнать про браслеты, где и кем выдавались",Связь и телевидение
"'Каким должен быть процедурный кабинет в поликлинике, где делают прививки? На работу кабинета надо получить сертификат. Почему в кинотеатрах, в магазинах, на вокзалах … в антисанитарных условиях делают прививки?",Коронавирус
'Нехватка врачей !!!! Узких специалистов!!!! Эндокринолог например !! И остальные тоже!!!,Здравоохранение/Медицина
"'Куда обращаться за кражу с карты по терминалу автобуса, более месяца на общественном транспорте не ездил, 7 мая в 3:51 по Москве списание 18 рублей, карта была при мне, сутки я был в деревне никуда не передвигался?",Общественный транспорт
"'Добрый вечер, Дмитрий Николаевич.<br>У кого узнать , почему стоимость проезда на электричке""ласточка"" с промучастка до камгес билет стоит 32 рубля, а с камгес до промучастка на этой же электричке стоит 52 рубля.<br>Вот билеты сегодня с этой электрички.<br>[2 фотографии]<br>1. https://vk.com/photo657919890_457239472<br>2. https://vk.com/photo657919890_457239471",Общественный транспорт
"'Над офисным зданием (г. Пермь, ул. Куйбышева, 50а) реет гордый стяг, готовый улететь при очередном порыве ветра. Наводит ужас на пермяков и гостей города.",Безопасность
"'Ничего не понятно.. То с апреля, теперь с мая.<br>То с 7 лет, теперь с 8 лет.<br>Какие документы надо, кроме заявления? 🤷‍♀️",Социальное обслуживание и защита
"'Буденного 33 и в УК обращались, и в прокуратуру - результата никакого. А платим за тепло не мало.😡",ЖКХ
"'Действительно почему выплат до сих пор нет ?Детские по 15 тысяч дали и всё.Обещал ,выполняй !",Мобилизация
'Доброе утро.<br>Подскажите какие документы надо для получения пособия или компенсации семье мобилизованного,Мобилизация
"'Добрый вечер, тоже проблемы в получении выплаты по ранению, на региональном уровне. Пермский край",Мобилизация
"'Как можно с вами связаться? По указанным номерам на вашем сайте, трубки не берут 😏",Связь и телевидение
"'Есть одна проблема вытекающая из вроде бы хорошего освещения. Столбы, когда рядом ставят два столба у пешеходного перехода закрывая тем самым обзор водителям, а как известно люди смотрящие в телефоны и он же в нетрезвом состоянии часто игнорируют сигнал светофора создавая аварийные ситуаций .",Безопасность
"'Здравствуйте, как получить график платежей за 2020,2021 год",Мусор/Свалки/ТКО
"'Здравствуйте, почему не выплачена компенсация многодетным малоимущим в январе?",Социальное обслуживание и защита
'Обращаюсь к управляющей компании!!!<br>Вы там что штаны протираете??? Когда начнёте уже работать!!!???<br>Сугробы по колено ул. Свердлова 31!!!<br>Детская поликлиника (Советский проспект 73)!!!<br>Начинайте работать в конце то концов!!!<br>TEMP_TRIM_1672024222760.mp4,Благоустройство
"'Пермь г, +79323322430. Выключите, пожалуйста, уличное освещение на ул. Встречная",Благоустройство
"'Это же краска, при чем тут закрытие?",Физическая культура и спорт
"'В военкомате сказали, что муж не является добровольцем, т. к. подписал контракт. Поэтому мат.помощь не полагается. Так ли это?",Мобилизация
"'Здравствуйте, а можно подать документы онлайн?",Образование
'Здравствуйте<br>С поста про хамство в соц защите,Социальное обслуживание и защита
'Будет ли в городе налажена система отопления ?,ЖКХ
"'Добрый день! Я Вам пишу по поводу помощи семьям мобилизованных. Мой муж не биологический отец моему ребёнку. Когда я подаю на какие либо выплаты (с 3 до 7) то мой муж считается членом семьи и на его еждевении находится мой ребёнок и я не прохожу на эту выплату т.к з/п превышает прожиточный минимум на всех членов семьи. Не смотря на то что я алименты получала и получаю не регулярно ( раз в 5 мес.). После мобилизации моего мужа я так же не могу получать выплату на ребёнка ( 15т в месяц и бесплатное питание в д/с), т.е. на выплату с 3-7 мой муж считается отцом ребёнка т.к содержит его, а на выплаты по мобилизации он не отец ребёнка. Как это понимать и почему такая несправедливость. Мы полностью на содержании моего мужа, он единственный кормилец семьи. Прошу не оставлять это без внимания. Спасибо.",Мобилизация
"'Проваливаешься в оценку пишут то домашняя работа или работа у дочки, а ребёнок даже не знает об этом",Образование
"'Добрый вечер! По всей Вышке идёт ремонт тротуаров, подскажите, планируется ли тротуар по улице Франко дальше Целинной, в частном секторе? Зимой говорили, что будет, но сейчас никаких работ там нет и вроде бы не планируется. Очень нужен здесь тротуар, с обеих сторон!!! Частный сектор разрастается, машины гоняют, дети ходят по дороге! Прошу Вас помочь!",Дороги
'Интересно когда в Перми появится роллерная трасса?,Физическая культура и спорт
'Сообщение без текста,Безопасность
"'Добрый день! Нам интересно, что думают в Перми. Регионы России, города берут шевство над городами, поселками или отдельными направлениями по восстановлению Донбасса. Что думает Пермь? Хочет отмолчаться?",Связь и телевидение
'Почему в городе где-то прививки заставляют принудительно где-то ваобще не ставят как так то ?,Коронавирус
'А когда будет горячая вода?,ЖКХ
"'Здравствуйте! Подскажите,у кого можно получить разрешение на посещение больного в больнице.",Связь и телевидение
"'Уважаемая администрация! Кто должен отвечать вот за этот беспредел на улицах? Детей одних отпускать страшно. Финский, Космонавтов",Безопасность
"'На Юбике спуск к запорожской 19,21,23.Кто почистит?Колея снежная ,днищем скребём.",Благоустройство
"'Микрорайон Новые Ляды!<br>Жители микрорайона обеспокоены, в связи с чем закрывают Дом спорта, ул. 40-лет Победы,9???",Физическая культура и спорт
"'Здравствуйте! Объясните, пожалуйста, может вы в курсе. Что происходит со школой 61? Сменилась директор школы, и все учителя друг за другом увольняются, явно причина в директоре. Все учителя давно работают и вдруг посреди учебного года все побежали. Это явно не выгорание , как нам ранее сказали в ответ на вопрос .У ребёнка выпускной 9 класс. Дети расстроены, как сдавать экзамены?",Образование
"'Здравствуйте! Почему в каких-то дворах устанавливаются спортивные площадки, а в каких-то нет? Нам на улица Крисанова, 67 повезёт когда-то с размещением спортивной площадки во дворе?",Физическая культура и спорт
"'#9вопросовчиновникам<br>Жители ""Мотовилихи"" сообщили мне, что открытый каток на стадионе ""Молот"" до сих пор не залит, не смотря что в Перми уже во всю зима и холода. Каток всегда пользовался популярностью у жителей как доступный вид массового спортивного отдыха на свежем воздухе. Фото катка взял прошлых лет для примера.<br>[id628987039|Алексей Дёмкин] когда будет залит каток? В Перми что, деффецит воды? Надо было залить еще в середине ноября...<br>Зима-холода<br>Андрей Губин",Физическая культура и спорт
"'Здравствуйте хотел бы узнать, что у нас будут делать с бродячими собаками, по улице Орджоникидзе (гарево поле) вчера 24.01.2022 возвращался домой с работы меня укусила собока, приехал в больницу, оказывается я не первый был кого она покусала, за вчера, на машины кидается люди говорят, а там же городской коток и там же дети ходят, вопрос какие меры будут? А скоро весна они станут ещё агресивней и будут в большие стаи собиратся",Безопасность
"'В 7:15 недавно не приехал автобус, хотя в новом расписании стоит😡",Общественный транспорт
'Хотелось бы узнать по какой причине каждый вызов управляющей компанией мы оплачиваем! А разве бесплатно они сейчас не делают ???,ЖКХ
"'Доброе утро опять зачистки ноль ,как идти ,только литеть т.к машины гоняют по дорогам ,а люди идут тоже подороги тротуара невидно",Благоустройство
"'На площадке у Дворца Культуры, по улице Ленина, совсем не на что взглянуть, ""один пустырь и бутылки"": более пяти лет: не ремонтируются оставшиеся гнилые скамейки, самое главное отсутствуют качели, детский комплекс: горки, карусели, и по заявлениям администрация не реагирует, даже к дню Победы не убраны сухие листья, ветки, не уделяется внимания ничему. Просьба, обеспечить площадку при ДК всем необходимым для радости детского досуга: оборудование для мамочек с детьми и для подростков: турники, качели, карусели, теннисный корд, песочницы: все прибрать и покрасить, смазать старые вековые скрипучие качели, скрипки, на гигантаы добавить одну качель. От лица жителей, хочется видеть гармоничность и заботу о детском досуге, которого в городе для маленьких детей с 3-10 лет практически ничего в городе Александровск нет!<br>Просьба обеспечить вышеуказанное.",Благоустройство
"'Здравствуйте, подскажите пожалуйста, мы получили протокол на оказание ВМП для ребенка! Когда и куда нам нужно обратиться?",Связь и телевидение
"'Набралось 12 коробок одежды. Чистая, но винтаж с 80-х и до сего времени, верхняя одежда, обувь, но сдать невозможно, пункты вторсырья не берут одежду",Мусор/Свалки/ТКО
"'> Дмитрий Николаевич, здравствуйте! Помогите разобраться, в сложившейся ситуации. Моя мама проживает в многоквартирном доме, по адресу:город Лысьва, ул. Совхозная, дом 95,квартира 5. Дом аварийный, но официально, таковым не признан. Дом построен в 1924 году, деревянный, имеет 2 этажа и 8 квартир. Дом построен очень давно, своим ресурсным износом и плохим состоянием, представляет опасность при проживании. Также в доме нет централизованой канализации и горячего водоснабжения, газа. Перекрытия дома, несущие стены, в очень плохом состоянии. По мимо всего этого, приходится платить, ""не маленькие"" , денежные средства за коммунальные услуги, в частности, капитальный ремонт, который не осуществляется. Большинство домов, практически все, по нашей улице признаны аварийными. Подскажите, пожалуйста, куда нам обратиться, для признания дома аварийным?<br>> Добрый вечер. Попросил администрацию Лысьвенского округа проинформировать вас по данному вопросу. Напишите, пожалуйста, в личные сообщения группы, чтобы они могли с вами связаться https://vk.com/lysvaadm",ЖКХ
"'Пополнить транспортную карту можно только с 10 января и деньги на карту придут втечение суток, а на работу нужно ехать уже в 6 + пересадка. Вот и получается, что 10 января всё платят за проезд 33 + 33 пересадка ( здорово ведь?)",Общественный транспорт
"'Здравствуйте, подскажите пожалуйста какие документы нужны на получении субсидии на ЖКХ как малоимущим",Социальное обслуживание и защита
'Здравствуйте. Можно сделать репост или новостью с указанием нас как источника? https://vk.com/yadonorperm?w=wall-70365346_12863 Спасибо,Связь и телевидение
"'Пермь г, +79058601408. Здравствуйте,  мы многодетная семья. Недавно мы переехали в свердловский район города Перми. Купили квартиру в ЖК Арсенал рядом со школой, чтобы дети могли получать  доступное и безопасное образование. Но нам в этом было отказано по причине отсутствия мест. Школа находится по адрессу Василия Татищева 7 ""Точка"". Школа была построена для данного жилова комплекса. Школу отдали совсем другому району и дети этого жилого комплекса, можно сказать, остались без школы. Детей  отказываются принимать  по прописке ссылаясь на отсутствие свободных мест. Наш дом новый, закреплён за данной школой по месту жительство. Сейчас мы вынуждены возить детей в школу по старому месту жительства. Мы просим разобратся с данной ситуацией и предоставить нам место в школе, по месту проживания и прикрепления.",Образование
"'В Пермском крае.Это настоящее чудо: в Перми годовалый малыш упал с 9-го этажа и выжил📝Утром 31 января из окна 10-этажки на Шоссе Космонавтов в Перми вылетел, как показалось проходившим мимо людям, какой-то сверток. Он приземлился прямо в сугроб во дворе и оттуда раздался детский плач.Прохожие бросились к нему. Оказалось, это был годовалый мальчик. Пока мама отвлеклась, любопытный малыш открыл окно и выпал с 9-го этажа. Но, пролетев около 20 метров, ребенок попал в сугроб, который смягчил падение.Прохожие вызвали скорую помощь. Мальчика увезли в краевую детскую больницу. Когда специалисты осмотрели ребенка, выяснилось: произошло настоящее чудо. Малыш практически не пострал.",Безопасность
"'Город грязный, в снегу по колено. Автобусы к бордюру не подъезжают, нужно спускаться на скользкую дорогу! Если ноги больные, то это испытание! В автобусе скользко и грязно, и холодно! Раньше обработку автобуса кондуктор делал, а теперь задерганный водитель будет? Как о нас заботятся слуги народные!!! Сами не ездят в том, что для нас купили! Не платят за скотские условия! Весь город в сугробах! Только деньги гребут!",Дороги
"'В центре поставили стеклянные остановки,красиво и обзор хороший,а вот крышу бы закрыть, такая жара,а тенёчка нет.",Общественный транспорт
"'Нам только и мечтать, когда построят эти дома. Бассейн бы и для детей что чтобы построили . А кто детям и некуда в этом городе сходить.",Физическая культура и спорт
"'Здравствуйте! Как быть, если уже пол дня не могу дозвониться по номеру 214-00-14 для вызова врача на дом при положительном тесте пцр на COVID-19? Либо не отвечают, либо занято. Позвонила уже более 20 раз….",Здравоохранение/Медицина
"'Пермь г, +79124907956. Скажите пжст когда будет отремонтирован бассейн в школе 28 г Перми?",Физическая культура и спорт
'Здравствуйте.Помогите! ВСЕСВЯТСКАЯ МОЛОДЕЖНАЯ 3. Над квартирами 1 и 5 снег с крыши не убирается.,ЖКХ
'Вас беспокоит жена мобилизованного! Хотела у вас уточнить по поводу выплат мобилизованным! Мужа третий раз отправляют обратно домой они только до Перми доезжают и их разворачивают! И опять ожидание! Он числится мобилизованным!,Мобилизация
"'Здравствуйте! Обращаюсь к Вам как мама ребенка, Воеводиной Валерии Владиславовны, которая закончила 11 класс МАОУ СОШ 1, г.Горнозаводска. В аттестате у дочери оценки 5 по всем предметам за все года обучения в школе. В законе сказано, что аттестат особого образца и золотой медали выдается только при успешной сдаче русского языка и математики ( не менее 70 баллов) Дочь сдала русский язык на 96 баллов, а профильную математику на 68 баллов. Получается, что ребенок, который все 11 лет имеет оценки 5 по всем предметам, не может получить аттестат особого образца ( пусть даже при отсутствии золотой медали). Прошу Вас о помощи, т.к. мне очень жаль свою дочь, которая 11 лет старалась, а в результате получит синий аттестат, лишь из-за 1-го недостающего первичного балла по профильной математике.",Образование
"'Добрый день<br>Есть ребёнок до 3х лет, какие выплаты полагаются?",Социальное обслуживание и защита
"'[id608041037|Иван], я 2е суток жду неотложку сыну. Температура 38-38.5 . Утром сами поедем в больницу",Здравоохранение/Медицина
'Было достаточно времени на подготовку.<br>В 13 автобусе транспортные карты вообще не работают.,Общественный транспорт
"'Вчера вечером пополнил пенсионный проездной ,01671175 через сбербанк онлайн на 15 дней.Денег на карте все еще нет! Где деньги,Зин??? В том году деньги быстро приходили!Удивительная транспортная реформа!!! Слава реформаторам!!! Только народ нервируете! 😢😢😢",Общественный транспорт
"'Здравствуйте. Скажите, пожалуйста, размещаете ли вы на своей странице информацию о конференциях для воспитателей не вашей области? Заранее спасибо!",Связь и телевидение
"'Вы собираетесь вакцинировать подростков! Насколько известно, эта вакцина находится в стадии эксперимента! Я очень переживаю за своего ребенка. Вы можете гарантировать безопасность этой вакцины ?",Коронавирус
"'Добрый день, центр города, а излишки потом жители платить будут из кармана?",ЖКХ
"'Зато проехать на пляж, дорога для смертников, а почему бы не свозить эту асфальтовую крошку для ремонта дороги, вообще удивляет, что по этой дороге едут люди с лодками отдыхать с города и наверное есть какие нибудь начальники, почему бы им не побеспокоиться, они же не летают по воздуху",Дороги
"'Здравствуйте! Подскажите, каким образом можно подать заявление в кадровый резерв на руководителя учебного заведения?",Связь и телевидение
'Здравствуйте! Куда подавать заявление на ЕДВ многодетным семьям вместо земельного участка,Социальное обслуживание и защита
"'Дочь ездит на дополнительные занятия. 6 класс. Одна пересадка, по карте. Ранее поездка на учебу обходилась 24 рубля в одну сторону, итого с обратом 48 рублей. Сейчас проезд по карте 33 рубля плюс пересадка 17 рублей, итого 100 рублей в обе стороны. А ведь, за счет укорочения маршрутов почти все пассажиры пользуются пересадкой. В результате стоимость проезда из пункта А в пункт В с пересадкой в пункте Б выросла более, чем в два раза. Какую там официальную инфляцию объявили наши верхи, что-то запамятовал? И к слову, большого притока новых автобусов не заметно, бензин и дизтопливо с момента предыдущего подорожания цен на проезд также не подорожали в два раза. Странно... Чувствую, обманывают, а где, не пойму.",Общественный транспорт
'А кто тогда в нашем городе приезжает и отлавливает?,Безопасность
'на октябрьском 7 слесаря даже не включали в нашем 12 подъезде.удивляться нечему-значковский рулит!!!!!!!!!!!!!!!😂😂😂😂😂😂😂,ЖКХ
"'Не понятно, про безлимитный на 15 дней, срок действия написано месяц.??",Общественный транспорт
"'[club175401227|Теплоэнерго регоператор ТКО], а к нам в Карабаи вообще не приехал вчера",Мусор/Свалки/ТКО
"'Если уже переболел ,когда можно поставить прививку",Здравоохранение/Медицина
"'Зачем каждый месяц законы менять, запутывать людей и маршруты автобусов? 🤔",Общественный транспорт
"'Почему нет данных по дому Макаренко 14, УК Урал Сервис???<br>Мы жители дома уже неоднократно заявляли о подделке наших подписей и фальсификации протоколов???<br>Почему ИГЖН не принимает решение об отзыве лицензии этой УК????<br>Вы надзорные орган или как????",ЖКХ
'Да тут не только дорога. Сам двор в ужасном состоянии. Что зимой что летом одно и тоже.😒,Благоустройство
'Какие мероприятия против клещей запланированы в нашем районе?,Безопасность
'Так все таки что можно сделать и как выйти из это ситуации,Благоустройство
'День добрый сегодня приезжала неотложка молодцы что приехали на в кв троя мама и два сына мама с 18.по 23 переболела все слава богу но вот мы с 24 по сей день болеем вопрос такой пцр тес взяли у двоих а я спросил про маму гу ну она тоже болела и логично учесть что мы живем в одной кв и унее взять извените но унас ограниченное количество тестов ????вот это совсем интересно а зачем они вообще ьогда нужны,Коронавирус
"'[club171875648|Министерство здравоохранения Пермского края], а что, в Чердыни новую больницу таки достроили? А когда открыли?",Здравоохранение/Медицина
"'Добрый день. Подскажите, пожалуйста, в Пермском крае установлены тарифы за сбор и вывоз опасных отходов (ртутьсодержащих, батареек, оргтехники) из многоквартирных домов и частного сектора?<br>Заранее спасибо",Мусор/Свалки/ТКО
"'Здравствуйте, педагогам тоже подняли зарплату с 1 апреля или только МРОТ на 4%",Образование
"'Здравствуйте. Во дворе дома по улице Смышляева 42 находится сооружение, которое совсем не безопасно для рядом гуляющих детей. Сооружение находится рядом с детскими качелями и игровой площадкой для детей с четырех домов. Сооружение никак не огорожено. Прошу решить данную проблему.",Безопасность
"'А у нас спиливают деревья и лежат эти огромные стволы и ветки месяцами, обрастая другим мусором. Весь квартал ими завален. Дружбы - Тургенева - Техническая.",Благоустройство
"'Здравствуйте, куда нужно обратиться для выдачи QR кода по антителам?",Коронавирус
